entidad,entidad_departamento,descripcion_item,monto_referencial_item_soles,monto_adjudicado_item_soles,diferencia_pct_cap,dias_proceso,proveedor
PETROLEOS DEL PERU S.A.,LIMA,SEGURIDAD,17367.57,1987346.0,500.0,32,ELECTRO FERRO CENTRO S.A.C. - EFC SAC
GOBIERNO REGIONAL DE MADRE DE DIOS-DIRECCION REGIONAL DE TRANSPORTE Y COMUNICACIONES,MADRE DE DIOS,MANTENIMIENTOS RUTINARIO DEL CAMINO DEPARTAMENTAL NO PAVIMENTADA: EMP R15 (PUKIRI-DELTA 1) - EMP. MD 101 - TRAMO DV KM 18 - BOCA COLORADO - MULTIDISTRITAL MANU - MANU -MADRE DE DIOS.,108720.0,2832000.0,500.0,18,AQUINO CUARESMA EDSON
PETROLEOS DEL PERU S.A.,LIMA,ADQUISICI¿N DE SELLOS MEC¿NICOS JOHN CRANE PARA BOMBAS CENTRIFUGAS GOULDS PUMPS DE REFINER¿A TALARA,1783705.36,17893705.36,500.0,0,JOHN CRANE PERU S.A.C.
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,REACTIVOS PARA SECUENCIAMIENTO GEN¿MICO A TRAV¿S DE NANOPORE,1500.0,15088.32,500.0,34,UMBRELLA GENOMICS COMPANY S.A.C.
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,KIT DE SECUENCIAMIENTO 2da GENERACI¿N,1000.0,17353.9,500.0,34,GEN LAB DEL PERU S.A.C.
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,Celdas de secuenci¿n masiva,1000.0,16000.0,500.0,34,UMBRELLA GENOMICS COMPANY S.A.C.
EMPRESA MUNICIPAL DE SANEAMIENTO BASICO DE PUNO SOCIEDAD ANONIMA,PUNO,"ADQUISICION DE TABLEROS DE CONTROL, PARA EL PROYECTO AQUISICION DE EQUIPOS ELETROMECANICOS Y SITEMA SCADA; EN EL (LA) ISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA CIUDAD DE PUNO",44000.0,438960.0,500.0,36,OBRICOM YPK S.A.
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,MEDIDOR DE CAUDAL,1000.0,11000.0,500.0,15,JH TUMAY E.I.R.L.
MUNICIPALIDAD DISTRITAL DE JACAS CHICO,HUANUCO,"CONTRATACI¿N DEL SERVICIO DE CONSULTOR¿A PARA LA SUPERVISION DE OBRA:  DEL SERVICIO DE REUBICACI¿N DE REDES DE AGUA Y DESAG¿E EN EL SECTOR PUNTO UNION, JACAS CHICO Y CHASQUI AFECTADO POR EL DERECHO DE V¿A POR LA EJECUCI¿N DE LA OBRA: MEJORAMIENTO DE LA CARRETERA HU¿NUCO -LA UNI¿N - HUALLANCA, TRAMO I: KM 00+000 AL KM 52+920¿, DISTRITO DE JACAS CHICO, PROVINCIA DE YAROWILCA Y DEPARTAMENTO DE HUANUCO",64292.64,1501198.21,500.0,37,INVERSIONES SHALOM JHIRE EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,KIT DE EXTRACCI¿N DE ADN DE MICROORGANISMOS,1000.0,7295.0,500.0,28,BM CORPORACION PERUANA S.A.C.
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,9-Fluorenimetil Clorofomiato en Acetonitrilo (FMOC),1000.0,9900.0,500.0,28,BIOGENICS LAB S.A.C.
MUNICIPALIDAD PROVINCIAL DE ANDAHUAYLAS,APURIMAC,NARANJA VALENCIA CATEGORIA I,66732.83,440500.0,500.0,33,UTANI APARCO REYNA ROSMERY
MUNICIPALIDAD DISTRITAL DE EL ALTO,PIURA,DIESEL B5 S-50,63166.78,373240.0,490.8802063363052,11,SERVICENTRO EL TRIANGULO DE ORO SRLTA.
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,Celda de flujo (R10.4.1),2300.0,13232.0,475.304347826087,32,BIOTECNOLOGY LATINA S.R.L.
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,KIT DE SECUENCIAMIENTO GENOMICO POR NANOPOROS,1000.0,5715.75,471.575,34,UMBRELLA GENOMICS COMPANY S.A.C.
GOBIERNO REGIONAL DE AREQUIPA Sede Central,AREQUIPA,"SERVICIO DE INSTALACION DE COBERTURA LIVIANA SOBRE TECHO PARA LA OBRA ""MEJORAMIENTO DEL SERVICIO EDUCATIVO EN LA INSTITUCION EDUCATIVA N¿ 40472 CARLOS MANUEL FEBRES, NIVEL PRIMARIA DEL DISTRITO DE MOLLENDO, PROVINCIA DE ISLAY, AREQUIPA, II ETAPA""",52750.0,297810.0,464.56872037914695,70,METAL MAS E.I.R.L.
MUNICIPALIDAD PROVINCIAL DE HUANCANE,PUNO,"CONTRATACION DE BIEN : ADQUISICION E INSTALACION DE VIDRIO MODUGLAS A TODO COSTO, PARA LA OBRA ""MEJORAMIENTO DEL SERVICIO DE INFRAESTRUCTURA DE COMERCIALIZACION EN LA LOCALIDAD DE HUANCANEDEL DISTRITO DE HUANCANE, PROVINCIA DE HUANCANE DEPARTAMENTO DE PUNO""",42470.7,224900.0,429.54154275771293,26,GRUPO EMPRESARIAL FLORES SOCIEDAD ANONIMA CERRADA - GE FLORES S.A.C.
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,PAQUETE N¿19,2800.0,14218.29,407.7960714285714,32,INDUSTRIAS CRIOGENICAS DEL PERU S.A.C.
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,KIT DE EXTRACCI¿N DE ADN,1000.0,5071.44,407.144,34,GEN LAB DEL PERU S.A.C.
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,PAQUETE 03,1625.6,8158.0,401.8454724409449,38,JELKER S.A.C.
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,1 DNEASY PLANT  MINI KIT PARA 250 EXTRACCIONES.,4800.0,23400.0,387.5,32,AVTAM E.I.R.L.
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,KIT DE PROCESAMIENTO CITOMETRO DE FLUJO,1150.0,5522.12,380.18434782608693,34,UMBRELLA GENOMICS COMPANY S.A.C.
EMPRESA REGIONAL DE SERVICIO PUBLICO DE ELECTRICIDAD ELECTRO NOR MEDIO SA HIDRANDINA,LA LIBERTAD,"CONSULTOR¿A PARA LA ELABORACI¿N DEL PLAN AMBIENTAL DETALLADO (PAD) DE GENERACI¿N Y SU RESPECTIVA APROBACI¿N POR LA ENTIDAD COMPETENTE, PARA TODA LA ZONA DE RESPONSABILIDAD T¿CNICA DE HIDRANDINA",115000.0,550000.0,378.2608695652174,35,C & J NEGOCIOS CORPORATIVOS SOCIEDAD ANONIMA CERRADA
MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),LIMA,CONTRATACI¿N DEL SERVICIO DE ALQUILER DE INMUEBLE PARA NUEVO ALMACEN DE LA UNIDAD ZONAL PIURA-TUMBES,120000.0,555000.0,362.5,30,MERINO SANCHEZ FRANCISCO HERNANDO
